Position	Phoneme/s	FrequencyData	TransitionalProbability	Z-TransformedTransitionalProbability	Occurences
1	n	12430,0516314065	0,022010372614752	0,442457449475995	18416
1	ɳ	274,951053049293	0,000486866451394508	-0,655063874555975	403
1	nː	10101,3137976973	0,0178867865700648	0,232188565718125	14819
1	ŋ	782,280607333758	0,0013852144920465	-0,609255532572342	1427
1	ŋː	3101,04979174361	0,00549114866431595	-0,399886748744312	4384
1	o	229,094171505423	0,000405665899726572	-0,659204433083119	359
1	ɵ	17676,9570771251	0,0313012707830946	0,916216640091756	25067
1	oː	11255,3741109975	0,0199303257498582	0,33639221215452	15535
1	p	8766,87898945099	0,0155238513039405	0,111698352729793	13081
1	pː	4884,33663028544	0,008648883560293	-0,23886830882699	6985
1	r	46680,019241231	0,0826581133876617	3,53499210658265	68536
1	rː	3035,75196770398	0,00537552328473881	-0,405782689615751	4367
1	s	4219,14827950438	0,00747100885036898	-0,298930205869601	6231
1	ʂ	864,034799735636	0,00152997979881618	-0,601873695712034	1278
1	sː	1474,62187116648	0,00261116991406773	-0,546741915703007	1883
1	ʂː	80,2316910016714	0,00014206935472388	-0,672645683169693	78
1	t	24552,3920126015	0,0434758690314203	1,53702075479532	35110
1	ʈ	664,998656589393	0,00117753881109067	-0,619845279735373	1123
1	tː	801,461792136444	0,00141917935697376	-0,607523604547112	1187
1	ʈː	230,384172747944	0,000407950154761335	-0,659087954913105	331
1	u	393,227061741656	0,000696302349160765	-0,644384370850971	524
1	ʉ	3212,12135813352	0,00568782737777915	-0,389857756238596	4743
1	ʉ̞	801,263372629777	0,00141882800788807	-0,607541520453136	1152
1	ʊ	11346,4441670995	0,0200915870163672	0,344615206930124	15804
1	uː	12370,5345824639	0,021904983476959	0,437083472523947	17002
1	ʉː	10589,7348181044	0,0187516525393159	0,276289598165087	14729
1	v	18146,1056706925	0,0321320103216187	0,95857750599003	28580
1	vː	32,4030294956019	5,73772961041431E-05	-0,676964279759201	18
1	y	263,18618155243	0,000466033938940871	-0,656126160898985	479
1	ʏ	9486,77129577617	0,01679859242124	0,176699637754554	13575
1	yː	5635,65877114591	0,00997927869978455	-0,171029127612813	7666
1	ø	275,379543599402	0,000487625196164801	-0,655025184829563	354
1	ø̞	15739,5674255021	0,0278706600827783	0,741283784381686	21507
1	øː	12419,7806801191	0,0219921854445257	0,44153005377217	17437
2	a	24117,4620224434	0,0427746265278025	2,06902868810161	35282
2	ɑ	291,742796507806	0,000517433764431145	-0,866129040674863	516
2	ɑː	8656,7084606646	0,0153535007547814	0,164374734983371	12108
2	a͡u	52,1126534277332	9,24267771488443E-05	-0,895649755656833	84
2	a͡uː	169,819635001394	0,000301191371526266	-0,881149099730325	229
2	b	10149,2497622626	0,0180006655639874	0,348245118721239	15802
2	bː	1663,43649391262	0,00295026378453983	-0,697146215045447	2155
2	ɔ	9203,00340553934	0,0163224071106532	0,23167435412331	13722
2	ɕ	943,1742424548	0,00167280976472995	-0,785877358649752	1407
2	d	23558,8517025745	0,0417838776760065	2,00021190308918	34692
2	dː	2104,42018022949	0,00373239054686266	-0,642820187659532	2787
2	ɖ	6124,40667376199	0,0108622212374903	-0,147586683303249	8781
2	e	464,196296661744	0,000823296547821555	-0,844884006305433	727
2	e̞	16192,3385935179	0,0287186618270573	1,09271032124211	23306
2	eː	5923,60894064011	0,0105060872448701	-0,172323523887349	8537
2	e͡ʉ	3,66351247041516	6,49758990212682E-06	-0,901618342341874	8
2	e͡ʉː	2,89209460269048	5,12940650214509E-06	-0,901713375490511	3
2	ɛ	117,389501271986	0,000208201512684935	-0,887608116172907	211
2	ɛ̝	11383,0184919978	0,0201888724568601	0,500236577542052	15804
2	ɛː	5128,69855361547	0,00909623761407531	-0,270250782411417	7430
2	f	6364,21750444888	0,011287548691532	-0,118043708904025	9965
2	fː	4074,63349701144	0,00722675238008648	-0,400104037550792	6005
2	ɡ	12726,3052854891	0,0225713201148204	0,665719876345777	18778
2	ɡː	2946,78214818996	0,00522640009675656	-0,539047234690493	3938
2	h	3070,31047867166	0,0054454894104265	-0,523829430329669	4376
2	ɧ	2035,81655763392	0,00361071545798934	-0,65127166193294	3538
2	ɧː	142,978402911381	0,000253585878165151	-0,88445574701647	200
2	i	246,63600980057	0,000437432562253413	-0,871685873287911	381
